Student_ID,CGPA,Attendance,Backlogs,Coding_Skill,Communication_Skill,Projects,Internships,Aptitude_Score,Placement
STU058,5.94,56.3,4,6,5,4,2,43,No
STU059,5.22,89.0,4,5,4,5,2,44,No
STU060,6.56,82.9,1,6,8,0,0,50,No
STU061,6.87,86.7,2,2,2,2,0,95,No
STU062,6.3,64.6,2,1,6,3,0,90,No
STU063,8.98,61.1,3,7,5,0,0,60,No
STU064,6.71,55.7,4,7,2,3,2,74,No
STU065,6.35,70.8,0,10,10,2,0,51,Yes
STU066,7.6,81.5,4,10,1,3,0,65,No
STU067,5.68,72.7,4,2,8,5,0,90,No
STU068,8.85,74.7,3,2,2,5,0,58,No
STU069,5.36,95.7,0,1,7,4,2,84,Yes
STU070,9.74,70.7,3,10,9,4,0,99,Yes
STU071,8.71,78.1,0,8,9,3,2,46,Yes
STU072,5.95,90.3,1,8,8,0,1,86,Yes
STU073,5.03,72.8,0,1,10,5,2,94,Yes
STU074,8.91,83.0,3,8,9,0,2,46,Yes
STU075,8.39,93.8,4,9,2,0,0,65,Yes
STU076,8.5,97.7,0,4,6,3,1,79,Yes
STU077,8.7,61.6,0,1,4,0,1,44,No
STU078,5.36,96.7,2,1,4,5,1,60,No
STU079,6.72,77.1,4,3,5,2,1,53,No
STU080,5.56,66.6,1,5,3,4,2,43,No
STU081,9.14,75.7,3,5,1,2,1,62,Yes
STU082,7.99,99.1,1,9,8,0,2,81,Yes
STU083,6.59,77.2,4,10,5,2,2,59,Yes
STU084,5.31,69.8,0,2,3,5,2,54,No
STU085,6.49,83.5,0,2,10,5,1,89,Yes
STU086,6.56,65.8,4,6,7,0,0,91,No
STU087,8.5,58.4,0,9,7,3,0,84,Yes
STU088,8.06,60.8,0,1,1,2,1,68,No
STU089,9.26,60.8,0,9,9,3,0,47,Yes
STU090,7.27,61.8,3,9,2,3,0,80,Yes
STU091,5.57,61.2,3,9,5,1,2,87,No
STU092,8.42,83.8,2,5,5,0,2,58,Yes
STU093,8.65,63.2,1,9,8,4,1,87,Yes
STU094,7.69,70.6,4,4,8,5,1,78,Yes
STU095,8.7,95.4,4,2,7,5,0,85,Yes
STU096,7.37,76.3,4,6,7,0,2,67,Yes
STU097,7.51,85.0,2,4,6,4,1,85,Yes
STU098,7.05,62.8,3,6,6,5,1,96,Yes
STU099,5.12,63.7,2,3,9,0,1,66,No
STU100,5.52,56.8,4,6,6,5,1,43,No
STU101,5.15,62.6,1,2,2,3,1,97,No
STU102,8.05,67.5,0,2,2,2,1,54,No
STU103,6.51,63.0,3,9,5,2,0,74,No
STU104,7.44,59.0,3,7,4,5,2,76,Yes
STU105,9.36,60.4,2,3,2,1,2,40,Yes
STU106,6.2,75.7,3,1,3,4,1,42,No
STU107,6.97,64.3,4,8,7,4,2,86,Yes
STU108,8.63,71.4,4,6,8,4,2,63,Yes
STU109,6.1,77.7,2,7,6,3,2,66,Yes
STU110,5.37,86.1,4,9,5,4,1,79,No
STU111,6.39,56.8,1,5,1,2,1,100,No
STU112,5.77,91.0,2,1,8,3,2,75,No
STU113,9.46,83.3,1,10,3,0,2,73,Yes
STU114,8.88,58.7,0,7,6,4,1,68,Yes
STU115,8.04,94.3,1,5,3,4,0,63,Yes
STU116,9.18,96.4,0,3,7,0,2,63,Yes
STU117,8.86,57.7,0,9,7,4,0,81,Yes
STU118,5.9,67.5,1,1,9,0,2,43,Yes
STU119,9.28,91.3,2,1,5,3,0,42,No
STU120,7.59,88.7,4,1,8,2,0,73,No
STU121,8.88,63.3,4,3,10,0,0,96,Yes
STU122,9.3,64.4,0,6,10,1,1,88,Yes
STU123,6.53,71.7,0,10,8,0,0,62,Yes
STU124,5.53,76.8,2,3,1,4,0,92,No
STU125,6.09,82.8,3,8,5,3,0,95,No
STU126,7.05,71.6,1,10,3,5,2,91,Yes
STU127,8.93,75.8,0,2,1,3,0,62,Yes
STU128,9.13,88.6,4,9,4,5,2,84,Yes
STU129,5.03,56.7,2,3,8,0,0,44,No
STU130,7.45,66.4,1,5,3,2,0,70,No
STU131,7.0,87.1,2,10,10,1,1,92,Yes
STU132,6.07,95.3,1,8,2,3,2,80,Yes
STU133,5.58,78.0,1,2,9,4,0,96,No
STU134,6.62,78.9,0,6,10,5,2,100,Yes
STU135,9.53,59.8,2,5,5,4,2,96,Yes
STU136,6.55,75.1,2,10,7,2,1,99,Yes
STU137,7.49,79.0,4,9,2,5,1,93,Yes
STU138,8.37,65.9,4,5,9,3,1,45,Yes
STU139,6.75,67.1,0,2,9,0,1,76,Yes
STU140,9.66,72.0,0,5,4,4,1,96,Yes
STU141,9.62,55.9,3,4,4,2,1,49,Yes
STU142,6.21,69.5,4,7,6,3,1,79,No
STU143,7.39,64.5,1,6,10,3,1,46,Yes
STU144,6.44,69.7,2,2,10,3,0,78,No
STU145,6.37,60.4,0,5,10,3,2,77,Yes
STU146,5.18,95.1,2,7,6,5,1,60,Yes
STU147,7.93,81.7,2,7,1,3,1,100,Yes
STU148,7.41,85.6,3,5,9,4,2,59,Yes
STU149,5.25,90.5,4,9,2,2,0,42,No
STU150,6.34,77.4,0,4,5,5,2,90,Yes
STU151,9.36,58.9,2,3,9,3,2,61,Yes
STU152,6.15,79.2,0,4,4,1,1,86,Yes
STU153,5.7,81.4,1,5,3,1,2,43,No
STU154,7.35,88.5,3,6,7,2,2,67,Yes
STU155,9.73,74.4,1,3,6,0,1,51,Yes
STU156,6.16,60.7,0,2,8,0,1,77,No
STU157,8.23,67.8,0,4,3,5,1,90,Yes
STU158,8.66,71.3,4,5,5,5,1,75,Yes
STU159,6.14,84.1,2,4,10,5,2,86,Yes
STU160,8.5,80.7,2,3,4,0,2,80,Yes
STU161,6.77,71.0,1,8,4,1,0,44,No
STU162,8.04,99.4,3,10,4,0,0,52,Yes
STU163,8.04,82.3,2,4,10,4,2,62,Yes
STU164,7.57,65.7,4,2,8,3,0,97,No
STU165,5.43,59.6,1,2,6,5,2,89,No
STU166,9.01,61.9,1,1,3,1,0,69,No
STU167,6.54,66.1,4,4,10,2,1,76,No
STU168,5.9,62.2,3,10,5,2,0,64,No
STU169,5.2,63.4,4,9,6,3,1,87,No
STU170,7.84,67.8,3,7,5,1,1,66,Yes
STU171,8.25,62.8,4,10,6,0,1,90,Yes
STU172,5.08,95.4,4,7,8,0,1,53,No
STU173,7.46,58.6,0,7,7,4,0,96,Yes
STU174,6.09,78.6,1,8,5,4,2,87,Yes
STU175,8.1,73.5,4,1,10,0,1,98,No
STU176,5.84,99.2,4,10,6,2,0,86,No
STU177,8.32,60.0,2,10,4,5,1,93,Yes
STU178,6.86,72.9,1,8,9,2,0,75,Yes
STU179,9.5,98.6,2,4,4,4,0,78,Yes
STU180,5.66,93.9,1,4,1,3,0,55,No
STU181,6.64,91.8,2,4,7,0,2,95,Yes
STU182,5.54,66.6,4,6,7,4,0,61,No
STU183,9.44,62.7,4,7,4,4,0,60,Yes
STU184,9.21,85.1,0,6,3,5,2,93,Yes
STU185,6.24,96.8,2,1,8,0,2,60,No
STU186,8.17,80.1,3,8,5,5,0,47,Yes
STU187,8.92,80.7,0,10,10,0,2,88,Yes
STU188,7.66,67.6,2,7,7,5,1,55,Yes
STU189,7.54,89.6,2,6,4,2,1,98,Yes
STU190,6.16,63.4,0,6,4,3,2,94,Yes
STU191,5.45,69.6,4,5,8,3,2,70,No
STU192,9.31,74.1,2,6,8,0,0,81,Yes
STU193,9.32,77.8,4,9,2,1,2,49,Yes
STU194,8.04,65.9,0,10,2,4,0,71,Yes
STU195,6.63,60.2,4,9,3,4,1,98,Yes
STU196,6.68,82.5,1,10,3,0,2,73,Yes
STU197,8.48,68.0,3,8,1,5,0,48,Yes
STU198,9.31,81.2,2,10,3,1,0,56,Yes
STU199,9.26,61.9,3,9,6,2,1,50,Yes
STU200,8.74,76.7,4,10,8,5,2,71,Yes
STU201,8.08,79.0,2,8,10,5,1,49,Yes
STU202,5.4,57.3,4,8,6,0,0,61,No
STU203,5.78,70.1,1,1,5,0,0,96,No
STU204,9.31,61.0,0,10,4,4,2,56,Yes
STU205,7.91,57.9,2,5,3,0,0,43,No
STU206,5.04,99.5,1,4,4,0,2,87,No
STU207,5.49,69.5,1,2,7,0,1,91,No
STU208,8.18,91.4,2,8,1,4,2,86,Yes
STU209,5.02,66.5,4,3,7,2,2,64,No
STU210,5.77,85.7,1,4,1,2,0,98,No
STU211,7.63,89.2,3,7,2,0,0,60,No
STU212,8.32,81.8,1,10,4,4,2,76,Yes
STU213,8.13,76.2,4,9,1,2,0,77,No
STU214,6.08,73.5,4,2,9,5,0,88,No
STU215,8.42,70.7,3,3,6,2,0,40,No
STU216,6.14,96.8,1,4,1,2,2,64,No
STU217,6.56,92.4,4,10,1,4,0,90,No
STU218,8.58,98.4,2,1,6,5,2,75,Yes
STU219,8.12,60.6,0,7,4,4,0,56,Yes
STU220,9.08,87.9,0,2,4,0,1,80,Yes
STU221,8.16,97.2,0,5,6,3,0,63,Yes
STU222,7.73,63.2,1,1,7,2,0,41,No
STU223,5.45,58.0,3,3,9,3,2,79,No
STU224,6.77,88.4,4,2,10,4,2,54,Yes
STU225,6.27,80.9,2,1,5,4,0,71,No
STU226,6.17,92.9,2,7,9,4,1,78,Yes
STU227,9.67,61.3,1,5,4,3,0,98,Yes
STU228,6.89,90.8,0,1,10,4,0,45,Yes
STU229,9.28,64.1,1,6,2,0,1,40,Yes
STU230,8.03,62.4,3,5,3,4,2,86,Yes
STU231,8.82,62.4,3,3,1,1,0,62,No
STU232,7.41,91.7,4,7,6,3,2,97,Yes
STU233,7.77,84.9,4,10,6,1,2,78,Yes
STU234,7.36,78.5,3,9,1,4,1,100,Yes
STU235,5.94,71.1,3,9,3,0,1,96,No
STU236,8.47,94.5,3,9,5,2,2,56,Yes
STU237,6.35,72.7,1,2,3,5,0,73,No
STU238,5.12,91.7,3,3,10,5,2,98,Yes
STU239,8.1,74.8,2,7,3,4,0,80,Yes
STU240,5.85,72.0,0,5,10,0,0,68,Yes
STU241,9.51,75.8,3,2,3,3,1,48,Yes
STU242,9.58,68.6,0,3,5,1,0,52,Yes
STU243,9.39,88.6,1,10,5,1,0,45,Yes
STU244,6.78,77.6,0,6,4,1,2,45,No
STU245,5.07,65.4,1,7,1,3,1,59,No
STU246,9.46,95.5,2,9,5,5,0,91,Yes
STU247,7.06,72.3,1,1,10,0,0,92,No
STU248,9.64,79.5,1,7,5,3,1,42,Yes
STU249,9.63,95.8,4,8,4,1,2,56,Yes
STU250,9.09,83.1,3,3,6,4,1,88,Yes
STU251,6.41,60.3,3,4,10,2,1,51,No
STU252,6.85,97.3,2,10,4,3,0,87,Yes
STU253,9.09,83.2,2,6,7,3,0,86,Yes
STU254,6.52,70.1,3,10,7,0,2,84,Yes
STU255,5.81,61.3,4,7,2,0,0,94,No
STU256,7.67,90.7,3,4,3,3,0,40,No
STU257,9.49,82.9,4,8,1,1,1,56,Yes
STU258,8.34,79.0,2,5,8,2,0,42,Yes
STU259,7.74,95.2,0,1,9,0,2,65,Yes
STU260,5.47,90.5,2,4,4,1,1,54,No
STU261,7.95,61.8,2,3,6,4,2,75,Yes
STU262,9.75,69.0,1,9,9,0,1,71,Yes
STU263,5.67,66.2,1,8,6,1,0,71,Yes
STU264,7.49,88.5,1,1,9,1,1,43,Yes
STU265,9.21,56.5,1,6,4,2,1,57,Yes
STU266,8.56,80.6,4,9,8,2,0,88,Yes
STU267,8.35,89.3,3,7,9,4,0,58,Yes
STU268,8.37,94.5,0,4,4,1,2,82,Yes
STU269,6.73,70.4,2,1,5,5,2,91,Yes
STU270,6.41,92.0,4,2,8,1,0,74,No
STU271,8.88,60.0,0,5,10,2,0,79,Yes
STU272,8.89,93.1,4,5,6,5,0,53,Yes
STU273,9.16,60.7,4,8,7,0,1,97,Yes
STU274,9.38,72.9,2,6,3,0,1,72,Yes
STU275,7.45,90.9,3,8,7,3,1,53,Yes
STU276,7.41,61.7,1,2,8,2,0,73,Yes
STU277,8.83,65.3,3,3,10,3,2,100,Yes
STU278,8.12,87.5,2,6,6,5,0,94,Yes
STU279,8.37,87.4,2,10,10,2,1,43,Yes
STU280,8.82,83.9,2,3,9,4,1,63,Yes
STU281,9.27,86.2,0,6,6,1,0,98,Yes
STU282,6.62,79.4,3,6,9,4,0,68,No
STU283,6.8,66.3,3,2,4,5,1,58,No
STU284,5.45,70.6,4,7,8,2,1,45,No
STU285,7.78,63.2,4,2,4,5,1,96,No
STU286,5.17,95.9,4,6,2,1,0,72,No
STU287,7.23,81.3,2,1,10,0,1,88,No
STU288,7.6,73.0,3,3,9,0,1,79,No
STU289,6.38,75.8,2,2,5,5,2,58,Yes
STU290,7.84,97.6,0,7,4,3,0,92,Yes
STU291,5.15,61.9,4,4,2,2,2,40,No
STU292,5.18,81.4,2,8,1,2,2,44,No
STU293,8.95,77.8,2,6,7,0,1,66,Yes
STU294,6.73,82.5,0,10,6,4,0,55,Yes
STU295,5.61,55.8,1,4,2,1,1,45,No
STU296,7.51,94.2,3,5,8,4,0,79,Yes
STU297,8.7,96.9,1,9,4,4,2,52,Yes
STU298,6.04,80.4,4,7,8,5,0,87,No
STU299,7.99,86.3,2,10,7,0,1,74,Yes
STU300,5.41,96.5,0,9,5,0,1,58,Yes
STU301,5.25,86.8,0,7,10,0,1,51,Yes
STU302,7.55,61.9,3,1,10,5,0,55,No
STU303,7.6,80.9,1,8,8,3,2,98,Yes
STU304,8.06,82.3,3,4,9,4,2,82,Yes
STU305,8.49,74.1,2,3,5,5,0,49,Yes
STU306,9.68,88.1,3,7,10,2,1,64,Yes
STU307,7.48,97.0,0,3,5,1,2,59,Yes
STU308,6.55,96.7,0,8,2,3,1,70,Yes
STU309,8.82,75.3,4,6,5,2,0,43,No
STU310,6.3,60.1,4,5,3,4,1,83,No
STU311,7.11,99.3,2,4,7,0,2,62,Yes
STU312,5.38,92.8,1,8,10,4,2,41,Yes
STU313,5.12,60.6,3,8,5,5,1,95,No
STU314,9.62,96.4,2,1,8,1,0,61,Yes
STU315,9.01,94.1,4,9,1,5,1,90,Yes
STU316,8.34,78.3,3,5,3,3,0,96,No
STU317,6.96,81.6,4,4,3,3,1,76,No
STU318,5.83,73.0,3,6,9,1,2,47,No
STU319,5.75,57.5,1,6,5,2,0,46,No
STU320,6.2,70.1,2,2,9,2,0,53,No
STU321,7.64,91.1,3,8,9,3,0,95,Yes
STU322,8.43,55.2,0,7,1,3,2,94,Yes
STU323,8.17,70.0,0,1,2,0,1,42,No
STU324,6.34,72.9,3,5,5,2,2,89,No
STU325,9.58,79.2,3,6,4,1,0,55,Yes
STU326,8.54,96.4,3,4,10,2,1,94,Yes
STU327,7.66,70.6,0,2,9,0,2,58,Yes
STU328,7.94,70.6,0,4,7,5,0,90,Yes
STU329,7.01,88.2,3,1,6,3,0,57,No
STU330,6.19,75.3,4,7,7,3,2,91,No
STU331,6.71,65.1,4,2,1,0,2,55,No
STU332,8.64,75.4,1,2,1,1,2,47,No
STU333,5.07,61.3,2,9,8,3,0,99,Yes
STU334,5.56,62.9,4,5,2,4,2,72,No
STU335,5.22,77.4,0,2,10,3,0,88,Yes
STU336,5.2,73.9,4,9,9,4,2,51,Yes
STU337,9.11,96.2,1,9,7,0,0,92,Yes
STU338,8.38,71.3,1,1,6,0,0,50,No
STU339,7.28,81.1,2,3,1,3,1,44,No
STU340,5.47,83.5,4,4,1,2,2,66,No
STU341,7.36,55.6,0,7,2,4,2,51,Yes
STU342,7.27,84.9,0,10,6,1,0,56,Yes
STU343,5.83,63.0,3,4,6,3,0,45,No
STU344,7.08,98.2,0,2,2,1,0,72,No
STU345,6.91,61.7,2,7,1,3,1,44,No
STU346,7.96,73.7,2,6,10,2,1,96,Yes
STU347,8.05,58.8,0,3,5,2,0,67,Yes
STU348,5.22,99.9,0,6,5,2,2,53,Yes
STU349,6.8,77.6,3,6,2,5,2,44,Yes
STU350,8.0,81.8,0,5,6,2,1,93,Yes
STU351,7.42,58.0,3,4,9,0,1,95,No
STU352,9.11,88.7,3,10,2,0,0,98,Yes
STU353,8.16,64.4,0,1,10,5,2,72,Yes
STU354,5.78,95.4,1,10,2,4,0,89,Yes
STU355,5.34,64.2,1,6,3,1,1,87,No
STU356,8.08,63.6,3,2,7,3,2,80,No
STU357,5.13,56.6,0,3,6,3,2,58,No
STU358,7.81,76.2,1,8,8,5,1,61,Yes
STU359,9.51,80.4,0,10,8,0,0,44,Yes
STU360,7.76,58.0,0,6,6,3,0,98,Yes
STU361,6.86,89.9,0,3,10,0,2,41,Yes
STU362,8.09,75.4,4,7,3,4,1,69,No
STU363,7.2,78.6,0,4,3,1,2,86,Yes
STU364,7.62,74.8,4,9,1,4,1,78,No
STU365,9.52,73.0,3,5,7,5,0,43,Yes
STU366,6.85,80.2,1,3,5,2,1,72,No
STU367,9.61,62.0,1,2,4,2,0,52,Yes
STU368,9.35,63.2,1,2,10,2,1,59,Yes
STU369,5.94,93.8,1,3,4,4,2,93,Yes
STU370,5.33,97.6,1,2,4,3,0,46,No
STU371,5.48,71.8,1,4,6,1,2,54,No
STU372,5.09,67.2,1,2,8,2,2,62,No
STU373,5.45,84.0,3,10,8,5,0,53,Yes
STU374,8.28,73.4,0,9,5,5,0,62,Yes
STU375,5.34,56.1,2,2,6,2,2,58,No
STU376,6.53,62.0,4,9,4,2,2,93,No
STU377,9.06,87.2,2,6,9,1,2,68,Yes
STU378,5.11,84.7,2,1,8,2,2,95,No
STU379,8.91,56.2,0,4,10,1,0,59,Yes
STU380,6.35,65.0,0,1,10,5,0,68,Yes
STU381,5.57,65.4,0,6,1,2,2,63,Yes
STU382,8.34,85.2,1,4,2,4,1,57,Yes
STU383,8.02,55.9,3,3,9,4,1,49,Yes
STU384,9.21,59.7,1,3,8,5,0,80,Yes
STU385,8.53,91.0,3,9,3,1,2,96,Yes
STU386,8.86,63.0,3,6,8,4,2,47,Yes
STU387,6.35,84.4,2,9,1,1,0,65,No
STU388,5.85,65.7,2,5,10,4,1,68,No
STU389,8.6,59.5,3,2,4,4,1,49,No
STU390,8.87,65.9,3,8,3,1,1,56,Yes
STU391,9.75,87.5,1,5,6,3,0,41,Yes
STU392,6.98,93.5,1,2,7,4,1,45,No
STU393,6.79,92.4,2,4,4,2,0,97,No
STU394,8.73,72.9,0,9,7,5,0,44,Yes
STU395,6.64,85.1,3,4,9,3,2,67,Yes
STU396,9.47,64.2,1,4,2,1,1,80,Yes
STU397,9.12,68.2,2,2,3,3,0,44,Yes
STU398,7.06,95.3,1,6,5,0,1,57,Yes
STU399,8.6,55.6,3,2,3,0,1,65,No
STU400,8.62,58.8,3,7,8,4,2,59,Yes
STU401,5.49,64.4,4,3,10,4,1,80,No
STU402,9.33,56.2,0,3,8,2,2,88,Yes
STU403,7.43,63.2,4,5,8,5,0,66,No
STU404,8.97,81.2,2,3,9,3,1,88,Yes
STU405,6.54,74.0,1,2,4,0,0,51,No
STU406,9.3,95.2,2,10,5,4,1,46,Yes
STU407,6.87,91.8,3,9,5,5,0,98,Yes
STU408,5.05,70.4,4,2,8,3,1,42,No
STU409,9.35,66.7,4,2,7,4,1,49,Yes
STU410,5.44,72.1,4,8,9,4,1,73,No
STU411,6.53,81.6,2,9,8,0,1,64,Yes
STU412,9.56,67.1,3,7,2,0,1,74,No
STU413,9.56,83.1,1,3,10,4,1,55,Yes
STU414,7.75,73.4,1,9,4,1,1,41,Yes
STU415,8.03,79.8,2,3,6,4,1,99,Yes
STU416,7.15,74.6,4,5,2,5,1,63,No
STU417,6.41,68.3,0,9,7,4,0,49,Yes
STU418,6.58,97.7,2,3,3,2,2,77,No
STU419,8.23,89.4,2,7,3,2,1,61,Yes
STU420,8.61,61.3,3,1,2,2,2,65,No
STU421,8.8,94.1,1,4,8,1,1,82,Yes
STU422,8.79,76.9,2,4,6,1,1,94,Yes
STU423,5.44,95.3,2,7,1,4,0,78,No
STU424,7.37,91.0,4,8,1,2,0,66,No
STU425,5.28,74.1,4,1,7,1,2,68,No
STU426,7.64,56.0,0,5,8,0,0,86,Yes
STU427,7.12,67.1,3,7,5,4,0,77,Yes
STU428,9.26,79.4,0,4,5,5,2,59,Yes
STU429,6.68,83.5,4,4,4,3,0,66,No
STU430,5.56,66.6,1,4,6,4,1,80,Yes
STU431,5.69,61.3,4,6,6,3,2,93,No
STU432,8.66,92.6,3,7,3,2,2,59,Yes
STU433,7.97,99.3,4,2,9,3,1,83,Yes
STU434,5.49,78.7,3,5,7,2,0,58,No
STU435,5.4,62.7,3,4,1,0,2,59,No
STU436,8.36,67.3,3,3,7,3,2,74,Yes
STU437,5.35,55.8,3,7,5,4,1,86,No
STU438,8.94,96.1,3,6,5,2,1,41,Yes
STU439,8.39,60.3,1,7,2,4,0,69,Yes
STU440,5.39,80.9,0,5,4,1,2,92,Yes
STU441,5.41,67.3,2,6,6,2,0,73,No
STU442,9.74,79.9,0,5,10,3,0,61,Yes
STU443,6.8,84.3,3,7,7,2,1,42,Yes
STU444,6.78,92.3,1,2,5,4,2,45,Yes
STU445,8.9,64.3,4,5,9,0,2,54,Yes
STU446,9.55,55.5,1,6,3,2,2,66,Yes
STU447,9.73,61.2,3,6,1,3,1,49,Yes
STU448,8.62,95.5,1,5,4,1,1,48,Yes
STU449,6.81,94.3,1,10,9,5,1,72,Yes
STU450,5.4,81.9,3,7,4,0,1,71,No
STU451,8.73,82.0,1,10,2,1,1,87,Yes
STU452,7.68,84.9,2,8,10,2,2,45,Yes
STU453,7.04,62.9,2,7,5,4,0,80,No
STU454,9.35,96.1,1,5,3,4,2,98,Yes
STU455,5.53,73.8,4,1,9,3,0,75,No
STU456,7.36,72.2,3,5,4,4,1,98,Yes
STU457,5.05,78.4,2,10,6,0,0,99,No
STU458,7.25,57.1,4,2,2,4,2,41,No
STU459,5.27,62.5,1,5,6,3,2,68,Yes
STU460,5.57,88.2,4,5,3,5,0,43,No
STU461,5.56,58.7,0,2,9,2,1,40,No
STU462,8.12,82.1,2,5,2,2,1,58,Yes
STU463,8.58,66.0,1,4,9,4,2,65,Yes
STU464,7.8,72.5,3,1,5,1,0,64,Yes
STU465,9.62,68.0,1,3,8,2,1,49,Yes
STU466,6.8,71.0,3,1,2,5,1,92,No
STU467,6.37,87.4,1,5,6,4,2,54,Yes
STU468,9.17,68.4,4,4,3,3,1,98,Yes
STU469,6.07,80.5,4,7,10,5,0,61,Yes
STU470,9.62,76.4,4,5,5,4,2,90,Yes
STU471,5.06,84.9,0,10,8,5,2,87,Yes
STU472,9.66,97.2,3,4,10,2,0,60,Yes
STU473,5.21,88.0,4,2,1,3,2,98,No
STU474,9.28,64.7,0,4,5,4,1,95,Yes
STU475,7.53,56.4,3,2,3,0,1,61,No
STU476,9.77,66.8,1,8,4,3,0,75,Yes
STU477,5.35,81.8,0,3,2,0,1,73,No
STU478,7.66,57.3,2,9,9,5,0,69,Yes
STU479,9.65,77.3,0,4,3,1,0,64,Yes
STU480,7.51,81.9,0,6,2,3,1,84,Yes
STU481,8.02,70.0,3,10,10,5,0,67,Yes
STU482,8.34,89.7,1,5,9,0,1,40,Yes
STU483,7.18,59.8,2,10,7,2,2,88,Yes
STU484,8.01,58.4,4,1,6,2,2,84,Yes
STU485,7.8,87.8,4,9,1,1,0,43,No
STU486,9.33,77.3,0,1,5,3,1,46,Yes
STU487,5.22,86.0,3,8,3,3,1,88,No
STU488,6.35,74.6,3,9,1,3,2,48,Yes
STU489,9.56,66.1,4,9,4,5,2,75,Yes
STU490,9.27,91.9,2,1,2,1,1,58,Yes
STU491,7.19,91.0,1,2,2,3,0,40,No
STU492,7.98,86.3,2,1,3,5,2,49,Yes
STU493,6.33,67.2,1,10,8,2,0,75,Yes
STU494,5.9,81.6,4,2,8,0,0,48,No
STU495,7.23,71.2,1,10,7,5,2,84,Yes
STU496,6.7,59.1,3,8,6,2,0,85,No
STU497,7.8,96.3,0,5,9,2,0,81,Yes
STU498,5.37,61.2,0,7,4,0,1,71,Yes
STU499,9.68,97.8,4,2,1,2,0,71,No
STU500,9.73,75.1,3,8,8,1,1,45,Yes
